model,tpr_no,tpr_yes,fpr_no,fpr_yes,prec_no,prec_yes,f1_no,f1_yes,roc_auc,mcc,kappa,wt_f1,status,tn,fp,fn,tp,avg_tpr
B4_RUS123 + C5_GradientBoosting,0.8169014084507042,0.727433628318584,0.27256637168141595,0.18309859154929578,0.9073405535499398,0.5487316421895861,0.8597491448118586,0.6255707762557077,0.8478494520561078,0.49825302351046996,0.48907258696704636,0.8048711778959625,MEETS MINIMUM,1508,338,154,411,0.7721675183846441
B4_RUS123 + C8_XGBoost,0.8374864572047671,0.6938053097345133,0.30619469026548674,0.16251354279523295,0.8993600930773705,0.5664739884393064,0.8673211781206172,0.6237072394590295,0.8497598251181698,0.49748749961132893,0.4928537662535182,0.8102320552073874,BELOW MINIMUM,1546,300,173,392,0.7656458834696402
B4_RUS123 + C6_SVM,0.8087757313109426,0.720353982300885,0.27964601769911507,0.19122426868905743,0.9043004239854634,0.5355263157894737,0.8538747497855305,0.6143396226415095,0.8384740026270626,0.48241620708257327,0.4725429461313697,0.7977414661536881,MEETS MINIMUM,1493,353,158,407,0.7645648568059138
B1_RUS + C1_LogisticRegression,0.8277356446370531,0.7008849557522124,0.2991150442477876,0.1722643553629469,0.9004124926340601,0.5546218487394958,0.8625458650860852,0.619233776387803,0.8387635547800075,0.4904493110756943,0.48430616171735585,0.8055274784769896,BELOW MINIMUM,1528,318,169,396,0.7643103001946328
B4_RUS123 + C1_LogisticRegression,0.7914409534127844,0.736283185840708,0.26371681415929205,0.2085590465872156,0.9074534161490683,0.519350811485643,0.845486111111111,0.6090775988286969,0.841243923719307,0.474589184093232,0.4609236041093734,0.7900855265239837,MEETS MINIMUM,1461,385,149,416,0.7638620696267462
B1_RUS + C5_GradientBoosting,0.7827735644637053,0.736283185840708,0.26371681415929205,0.2172264355362947,0.9065244667503137,0.5091799265605875,0.8401162790697675,0.6020260492040522,0.8414970421576429,0.46451498520416334,0.44949584688092614,0.7843215964177024,MEETS MINIMUM,1445,401,149,416,0.7595283751522066
B1_RUS + C6_SVM,0.8244853737811484,0.6867256637168142,0.31327433628318585,0.17551462621885158,0.8958210712183637,0.5449438202247191,0.8586741889985895,0.6076742364917777,0.8342323512210089,0.4746829230626432,0.4688836545255721,0.7998542084235797,BELOW MINIMUM,1522,324,177,388,0.7556055187489813
B1_RUS + C8_XGBoost,0.7838569880823402,0.7221238938053097,0.2778761061946903,0.2161430119176598,0.9021197007481296,0.5055762081784386,0.838840579710145,0.5947521865889213,0.8418642556496229,0.45418755546651873,0.4405149955216692,0.7816402719069548,MEETS MINIMUM,1447,399,157,408,0.752990440943825
B4_RUS123 + C4_RandomForest,0.7600216684723727,0.720353982300885,0.27964601769911507,0.2399783315276273,0.8987828315182576,0.4788235294117647,0.8235984737305548,0.5752650176678444,0.8336110605087297,0.4259024552264063,0.4088239193983023,0.765403366855635,MEETS MINIMUM,1403,443,158,407,0.7401878253866289
B4_RUS123 + C9_MLP,0.7659804983748646,0.7132743362831858,0.2867256637168142,0.23401950162513543,0.8972081218274112,0.48263473053892214,0.8264172998246639,0.5757142857142857,0.8060221095120759,0.42666324356202673,0.41109278944013816,0.767666904564455,MEETS MINIMUM,1414,432,162,403,0.7396274173290251
