model,tpr_no,tpr_yes,fpr_no,fpr_yes,prec_no,prec_yes,f1_no,f1_yes,roc_auc,mcc,kappa,wt_f1,status,tn,fp,fn,tp,avg_tpr
B1_RUS + C5_GradientBoosting,0.8271939328277357,0.7026548672566372,0.2973451327433628,0.17280606717226435,0.9008849557522124,0.5544692737430168,0.8624682293137532,0.6198282591725216,0.8469314183261585,0.49119129889625623,0.48488578847781294,0.8056073487124278,BELOW MINIMUM,1527,319,168,397,0.7649244000421864
B1_RUS + C8_XGBoost,0.8531960996749729,0.6761061946902654,0.3238938053097345,0.14680390032502708,0.8959044368600683,0.5849923430321593,0.8740288568257492,0.6272577996715928,0.8523427837275525,0.5045193444753244,0.502164907754918,0.8161998865677241,BELOW MINIMUM,1575,271,183,382,0.7646511471826192
B1_RUS + C6_SVM,0.7990249187432286,0.7221238938053097,0.2778761061946903,0.2009750812567714,0.9037990196078431,0.5237483953786907,0.848188614146061,0.6071428571428572,0.8316244642805778,0.47203371450398457,0.4606158855038358,0.7917013255907684,MEETS MINIMUM,1475,371,157,408,0.7605744062742692
B1_RUS + C1_LogisticRegression,0.80931744312026,0.7044247787610619,0.29557522123893804,0.19068255687973998,0.8994581577363034,0.5306666666666666,0.8520102651839179,0.6053231939163497,0.839034890075648,0.4700779541470705,0.46133110055467896,0.7942009763966197,BELOW MINIMUM,1494,352,167,398,0.756871110940661
B1_RUS + C4_RandomForest,0.7719393282773565,0.7309734513274336,0.26902654867256637,0.22806067172264355,0.9036144578313253,0.4952038369304556,0.8326029798422437,0.590421729807005,0.8297193645193146,0.44785133378822234,0.4316133382759346,0.7758495969015926,MEETS MINIMUM,1425,421,152,413,0.751456389802395
B4_SMOTETomek + C3_DecisionTree,0.890032502708559,0.5769911504424778,0.4230088495575221,0.10996749729144095,0.8730074388947928,0.6162570888468809,0.8814377682403434,0.5959780621572213,0.7616760467502085,0.47801475615626476,0.47758183878925264,0.8145423995398191,BELOW MINIMUM,1643,203,239,326,0.7335118265755185
B1_RUS + C9_MLP,0.6830985915492958,0.7628318584070797,0.23716814159292035,0.31690140845070425,0.9039426523297491,0.4242125984251969,0.7781548904659056,0.5452245414294751,0.7983259666919145,0.38253681995946515,0.34921280874689486,0.72356938768466,MEETS MINIMUM,1261,585,134,431,0.7229652249781877
B1_RUS + C3_DecisionTree,0.7908992416034669,0.6495575221238938,0.3504424778761062,0.20910075839653305,0.8805790108564535,0.48738379814077026,0.8333333333333333,0.5569044006069803,0.7710970383225151,0.4025813061021912,0.394868850373559,0.7685542595090324,BELOW MINIMUM,1460,386,198,367,0.7202283818636803
B2_SMOTE + C8_XGBoost,0.9712892741061755,0.4672566371681416,0.5327433628318584,0.028710725893824486,0.8562559694364852,0.832807570977918,0.9101522842639594,0.5986394557823129,0.8408978034305218,0.5497144697540185,0.517334241177362,0.8371515592153778,BELOW MINIMUM,1793,53,301,264,0.7192729556371585
B3_ADASYN + C3_DecisionTree,0.8759479956663055,0.5592920353982301,0.4407079646017699,0.12405200433369447,0.8665594855305466,0.5798165137614679,0.8712284482758621,0.5693693693693694,0.7264599852347577,0.4407728482998011,0.44065211904715684,0.8004900079680362,BELOW MINIMUM,1617,229,249,316,0.7176200155322678
B4_SMOTETomek + C8_XGBoost,0.9664138678223185,0.46371681415929206,0.536283185840708,0.03358613217768147,0.8548155246765692,0.808641975308642,0.9071955250444952,0.5894263217097863,0.8431279302773755,0.5342035444794927,0.5048470706858146,0.8327286648685888,BELOW MINIMUM,1784,62,303,262,0.7150653409908053
B2_SMOTE + C3_DecisionTree,0.8450704225352113,0.584070796460177,0.415929203539823,0.15492957746478872,0.8690807799442897,0.5357142857142857,0.856907443010162,0.5588484335309061,0.7145706094976941,0.41679041246175436,0.41610906094005007,0.7870595208385405,BELOW MINIMUM,1560,286,235,330,0.7145706094976941
B3_ADASYN + C5_GradientBoosting,0.9642470205850487,0.46371681415929206,0.536283185840708,0.035752979414951244,0.8545367258761402,0.7987804878048781,0.9060829727666072,0.5867861142217246,0.8465440704129474,0.5287685127458106,0.5008598039815235,0.8312581179022942,BELOW MINIMUM,1780,66,303,262,0.7139819173721704
B3_ADASYN + C8_XGBoost,0.9729144095341279,0.45132743362831856,0.5486725663716814,0.027085590465872156,0.8528015194681862,0.8360655737704918,0.9089068825910932,0.5862068965517242,0.8443609238822999,0.5405980441414245,0.5048490518677407,0.8332845299937297,BELOW MINIMUM,1796,50,310,255,0.7121209215812232
B2_SMOTE + C5_GradientBoosting,0.9577464788732394,0.4654867256637168,0.5345132743362832,0.04225352112676056,0.8541062801932368,0.7712609970674487,0.902962206332993,0.5805739514348786,0.8457166415785387,0.514466905415296,0.49073837321765656,0.82741290562066,BELOW MINIMUM,1768,78,302,263,0.7116166022684781
B4_SMOTETomek + C5_GradientBoosting,0.9550379198266522,0.4654867256637168,0.5345132743362832,0.04496208017334778,0.8537530266343826,0.7601156069364162,0.9015597034006648,0.5773874862788144,0.8454577704484223,0.5080815776132976,0.4858679956863724,0.8255923443488833,BELOW MINIMUM,1763,83,302,263,0.7102623227451845
B3_ADASYN + C9_MLP,0.9604550379198267,0.4088495575221239,0.5911504424778761,0.03954496208017335,0.8414807783578547,0.7598684210526315,0.897040222615735,0.5316455696202531,0.7920536150873929,0.47125473239812726,0.43979495775099786,0.8114126909100331,BELOW MINIMUM,1773,73,334,231,0.6846522977209752
B2_SMOTE + C4_RandomForest,0.9539544962080173,0.41415929203539825,0.5858407079646017,0.04604550379198267,0.8417782026768642,0.7335423197492164,0.8943626206196037,0.5294117647058824,0.8415047124133501,0.4601993230812551,0.43362016292703975,0.8088390894743309,BELOW MINIMUM,1761,85,331,234,0.6840568941217078
B2_SMOTE + C6_SVM,0.9902491874322861,0.3769911504424779,0.6230088495575221,0.009750812567713976,0.8385321100917431,0.922077922077922,0.9080973671137607,0.535175879396985,0.7796038312927256,0.5285136565926399,0.46200107832577253,0.8207059774165486,BELOW MINIMUM,1828,18,352,213,0.683620168937382
B4_SMOTETomek + C6_SVM,0.9897074756229686,0.3769911504424779,0.6230088495575221,0.010292524377031419,0.8384580082606701,0.9181034482758621,0.9078260869565218,0.5345043914680051,0.7785693055542239,0.5267162866724545,0.4609634646593632,0.8203409115309672,BELOW MINIMUM,1827,19,352,213,0.6833493130327233
B3_ADASYN + C6_SVM,0.9918743228602384,0.3734513274336283,0.6265486725663717,0.008125677139761646,0.8379862700228833,0.9336283185840708,0.9084594393450757,0.5335018963337547,0.7690342189282735,0.5309337071227159,0.46137452995996286,0.8205909151636587,BELOW MINIMUM,1831,15,354,211,0.6826628251469333
B4_SMOTETomek + C4_RandomForest,0.9528710725893824,0.40707964601769914,0.5929203539823009,0.047128927410617555,0.8400191021967526,0.7255520504731862,0.8928934010152283,0.5215419501133787,0.8322860238353196,0.45119590293682843,0.4246187846803582,0.8058699378217213,BELOW MINIMUM,1759,87,335,230,0.6799753593035408
B4_SMOTETomek + C1_LogisticRegression,0.9414951245937161,0.4176991150442478,0.5823008849557522,0.05850487540628386,0.8408321238509918,0.686046511627907,0.8883209813442372,0.5192519251925192,0.8277145514338583,0.4350307700063652,0.4155974971143377,0.8018323804625612,BELOW MINIMUM,1738,108,329,236,0.679597119818982
B2_SMOTE + C1_LogisticRegression,0.9414951245937161,0.41238938053097346,0.5876106194690266,0.05850487540628386,0.8396135265700483,0.6832844574780058,0.8876404494382022,0.5143487858719646,0.8278832970594158,0.4301691461687408,0.410328642673076,0.8001623117712904,BELOW MINIMUM,1738,108,332,233,0.6769422525623447
B3_ADASYN + C1_LogisticRegression,0.9469122426868906,0.40353982300884955,0.5964601769911504,0.05308775731310943,0.8383693045563549,0.6993865030674846,0.8893411345713559,0.5117845117845118,0.828570743727169,0.434117073635276,0.4107356863414916,0.8008635352870063,BELOW MINIMUM,1748,98,337,228,0.6752260328478701
B3_ADASYN + C4_RandomForest,0.9544962080173348,0.3911504424778761,0.6088495575221239,0.04550379198266522,0.8366571699905033,0.7245901639344262,0.8917004048582996,0.5080459770114942,0.8395305803507224,0.44044666086884915,0.41132053944275837,0.8017938301036562,BELOW MINIMUM,1762,84,344,221,0.6728233252476055
B2_SMOTE + C9_MLP,0.9442036836403034,0.3911504424778761,0.6088495575221239,0.05579631635969664,0.8351701006229036,0.6820987654320988,0.8863463005339436,0.4971878515185602,0.7969913421988705,0.4164951963036512,0.3936072345111208,0.7951498991678334,BELOW MINIMUM,1743,103,344,221,0.6676770630590898
B4_SMOTETomek + C9_MLP,0.9653304442036836,0.3238938053097345,0.6761061946902654,0.03466955579631636,0.8234750462107209,0.7408906882591093,0.8887780548628429,0.45073891625615764,0.8004391221392344,0.4040151680359608,0.35941146964593573,0.7861268257824707,BELOW MINIMUM,1782,64,382,183,0.644612124756709
B1_RUS + C2_KNN,0.7854821235102926,0.49557522123893805,0.504424778761062,0.21451787648970747,0.8357348703170029,0.41420118343195267,0.809829656520525,0.4512489927477841,0.7085451442487464,0.2650403056589364,0.26312163653507736,0.7257989327413468,BELOW MINIMUM,1450,396,285,280,0.6405286723746153
B4_SMOTETomek + C2_KNN,0.7204767063921993,0.5150442477876106,0.4849557522123894,0.27952329360780065,0.8291770573566085,0.36059479553903345,0.7710144927536231,0.4241982507288629,0.665418652144316,0.21141250641920908,0.20504828500381056,0.6897406741123997,BELOW MINIMUM,1330,516,274,291,0.617760477089905
B2_SMOTE + C2_KNN,0.7204767063921993,0.5150442477876106,0.4849557522123894,0.27952329360780065,0.8291770573566085,0.36059479553903345,0.7710144927536231,0.4241982507288629,0.665418652144316,0.21141250641920908,0.20504828500381056,0.6897406741123997,BELOW MINIMUM,1330,516,274,291,0.617760477089905
B3_ADASYN + C2_KNN,0.6971830985915493,0.5309734513274337,0.4690265486725664,0.3028169014084507,0.8292525773195877,0.3492433061699651,0.7575044143613889,0.4213483146067416,0.6579626842059847,0.20180437297471304,0.19326368861452592,0.6787287211380892,BELOW MINIMUM,1287,559,265,300,0.6140782749594915
B1_RUS + C7_NaiveBayes,0.09750812567713976,0.95929203539823,0.04070796460176991,0.9024918743228603,0.8866995073891626,0.24547101449275363,0.17569546120058566,0.39091236927515327,0.5332299446782807,0.08664471670164624,0.028273330496868865,0.22612995023506544,BELOW MINIMUM,180,1666,23,542,0.528400080537685
B3_ADASYN + C7_NaiveBayes,0.09859154929577464,0.9504424778761061,0.049557522123893805,0.9014084507042254,0.8666666666666667,0.24398000908677875,0.17704280155642022,0.38828633405639906,0.5252384970133942,0.07365766834059255,0.024459932046710264,0.22654615944214732,BELOW MINIMUM,182,1664,28,537,0.5245170135859404
B2_SMOTE + C7_NaiveBayes,0.09967497291440953,0.9469026548672567,0.05309734513274336,0.9003250270855905,0.8598130841121495,0.24351388256713702,0.1786407766990291,0.387400434467777,0.5239623582201172,0.06937380625132537,0.02326309710451535,0.22756205693102521,BELOW MINIMUM,184,1662,30,535,0.5232888138908331
B4_SMOTETomek + C7_NaiveBayes,0.09967497291440953,0.9469026548672567,0.05309734513274336,0.9003250270855905,0.8598130841121495,0.24351388256713702,0.1786407766990291,0.387400434467777,0.5239623582201172,0.06937380625132537,0.02326309710451535,0.22756205693102521,BELOW MINIMUM,184,1662,30,535,0.5232888138908331
