"CONTROL","TOTROOMS","PERPOVLVL","NOISE","DISHWASH","SOLAR","GARAGE","DINING","LAUNDY","NOSTEP","CONDO","RATINGHS","RATINGNH","NHQPCRIME","NHQPUBTRN","NHQRISK","NHQSCHOOL","NHQSCRIME","NOWIRE","TENURE","CELLPHONE","LANDLINE","PLUGS","SOGIRESP","PORCH","LEAKO","LEAKI","NOTOIL","PAINTPEEL","NEARABAND","NEARBARCL","NEARTRASH","INTLANG","OMB13CBSA","HHSEX","HHMAR","HHSPAN","HHCITSHP","MILHH","HHMOVE","HHRACE","HHGRAD","HHNATVTY","PARTNER","SAMESEXHH","HSHLDTYPE","NUMELDERS","NUMADULTS","NUMNONREL","HHYNGKIDS","HHOLDKIDS","NUMVETS","NUMYNGKIDS","NUMOLDKIDS","NUMSUBFAM","NUMSECFAM","NUMPEOPLE","HHADLTKIDS","GRANDHH","MULTIGEN","SAMEHHLD","HHFNTVTY","HHMNTVTY","HHPRNTHOME","HHGEN","HHSOGILGBT","HHSOGISO","HHSOGIG","UFINROOMS","STORIES","LOTSIZE","FINROOMS","YRBUILT","HOA","FOUNDTYPE","UNITFLOORS","UNITSIZE","BEDROOMS","KITCHENS","MONOXIDE","SMOKALRM","SPRNKSYSTM","WATSOURCE","FRIDGE","KITCHSINK","WASHER","COOKTYPE","COOKFUEL","DRYER","SEWTYPE","BATHROOMS","HOTWATER","HEATFUEL","FIREPLACE","ACPRIMARY","ACSECNDRY","HEATTYPE","SUPP1HEAT","SUPP2HEAT","HOT","COLD","NOWAT","WALLCRACK","FLOORHOLE","FNDCRUMB","ROOFSHIN","ROOFHOLE","ROOFSAG","WALLSIDE","WALLSLOPE","WINBOARD","WINBROKE","WINBARS","MOLDKITCH","MOLDBATH","MOLDBEDRM","MOLDBASEM","MOLDLROOM","MOLDOTHER","RODENT","ROACH","SEWBREAK","FUSEBLOW","ELECAMT","GASAMT","OILAMT","OTHERAMT","TRASHAMT","WATERAMT","UTILAMT","HHSEE","HHMEMRY","HHCARE","HHERRND","HHLDASTHMA","NUMASTHMAST","HHLDASTHMAER","ADEQUACY","POVLVLINC","UPKEEP","INSURAMT","HINCP","FINCP","TOTHCAMT","Class"
21000109,7,359,2,1,2,1,1,0,1,2,10,10,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,3,3,3,1,35380,1,1,2,1,6,2004,1,44,57,0,2,1,2,2,0,0,0,0,0,0,0,0,2,0,2,1,1,57,57,2,3,2,1,1,0,1,4,1,1990,2,4,1,7,4,1,2,1,2,1,1,1,1,1,2,2,1,5,2,2,1,1,1,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,6,5,100,210,0,0,40,2,350,2,2,2,2,2,1,2,1,18070,1,180,64800,64800,694,"No"
21000113,7,336,2,1,2,1,1,0,1,2,10,9,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,3,3,3,1,35380,1,1,2,1,6,2019,1,44,57,0,2,1,0,2,0,0,3,0,0,3,0,0,5,0,2,2,1,57,57,1,3,2,1,1,0,2,5,1,1980,1,3,2,6,4,1,1,1,2,1,1,1,1,1,1,1,2,4,1,1,2,1,12,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,6,5,70,0,0,0,30,50,150,2,2,2,2,2,1,2,1,35765,1,740,120000,120000,2385,"No"
21000117,3,218,1,1,2,1,0,0,1,2,10,10,1,2,2,1,2,1,1,1,2,1,1,1,2,2,2,2,3,3,3,1,35380,2,5,2,1,6,2023,1,42,57,0,2,6,0,1,0,0,0,0,0,0,0,0,1,0,2,1,4,57,57,2,3,2,1,3,0,1,5,1,1919,2,8,1,3,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,4,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,200,0,0,0,70,3,270,2,2,2,2,2,1,2,1,15591,1,72,34000,34000,1398,"No"
21000126,5,276,1,1,2,1,0,0,1,2,8,8,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,3,3,3,1,35380,2,1,2,1,6,1991,1,39,57,0,2,1,1,2,0,0,1,0,0,1,0,0,3,0,2,2,2,57,57,1,3,1,1,4,0,1,2,1,1970,2,4,1,5,3,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,2,1,12,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,200,0,0,0,30,40,270,2,2,2,2,2,1,2,1,24063,1,140,66400,66400,1487,"No"
21000134,6,501,1,1,2,1,1,0,2,2,8,6,2,2,2,1,2,1,1,NA,NA,1,1,1,2,2,2,2,3,3,3,1,35380,1,6,2,1,6,2023,1,39,57,0,2,4,0,1,0,0,0,0,0,0,0,0,1,0,2,1,3,57,57,1,3,2,1,1,0,1,2,1,2000,2,4,1,4,3,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,2,1,12,1,14,14,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,160,0,0,0,100,2,260,2,2,2,2,2,1,2,1,15591,1,85,150000,150000,2354,"No"
21000137,5,1,2,1,2,2,0,0,1,2,7,10,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,3,3,3,1,35380,2,6,1,1,6,2020,1,43,57,0,2,3,0,1,0,0,1,0,0,2,0,0,3,0,2,2,4,57,327,2,2,2,1,3,0,2,7,1,1990,2,4,2,5,3,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,2,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,180,0,0,0,30,20,230,2,2,2,2,2,1,2,1,24086,1,0,130,130,1730,"No"
21000146,5,501,2,1,2,2,0,1,1,2,9,7,1,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,3,3,3,1,35380,2,1,2,1,6,2005,1,39,57,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,2,1,2,57,57,1,3,2,1,3,0,1,4,1,2000,2,4,1,4,3,1,2,1,2,2,1,1,1,1,1,1,2,3,1,1,2,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,100,0,0,0,30,3,130,2,2,2,2,2,1,2,1,19953,1,137,120000,120000,1335,"No"
21000147,4,NA,2,1,2,1,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,1,35380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,7,1,2000,2,4,1,4,2,1,2,NA,NA,1,1,1,1,1,1,5,NA,3,1,1,3,1,12,1,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
21000157,9,501,2,1,2,1,1,1,1,2,10,10,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,3,3,3,1,35380,1,1,2,1,6,2001,1,45,57,0,2,1,0,2,0,0,0,0,0,0,0,0,2,0,2,1,1,57,57,1,3,2,1,1,0,2,5,3,1990,1,4,2,9,4,1,1,1,2,1,1,1,1,1,1,1,1,6,2,1,2,1,12,1,14,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,6,5,190,30,0,0,30,80,330,2,2,2,2,2,1,2,1,20068,1,695,477000,477000,5037,"No"
21000175,10,366,2,1,2,2,1,0,2,2,10,10,2,2,2,1,2,1,1,2,2,1,2,1,2,1,2,2,3,3,3,1,35380,2,1,2,1,6,2009,1,47,57,0,2,1,0,2,0,0,2,0,0,2,0,0,4,0,2,2,1,57,57,1,3,3,6,7,0,2,5,3,1970,2,4,2,9,5,1,1,1,2,2,1,1,1,1,1,1,2,5,1,1,4,1,1,3,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,1,5,310,0,0,0,10,3,320,2,2,2,2,2,1,2,1,30317,1,819,111000,111000,2182,"No"
